Date,Starbucks,Kura Sushi,Carrols restaurant group,Dine Brands,Ark Restaurants
2019-11-26,100.0,100.0,100.0,100.0,100.0
2019-11-27,101.43093546430785,101.49676785990162,97.88557213930349,102.25489606035491,100.40039539539538
2019-11-29,101.02885764022842,104.93528337116844,98.50746268656718,103.25152622093657,101.25125125125125
2019-12-02,100.0118282878862,100.60680423166686,97.51243781094529,103.12694916383266,100.35034534534535
2019-12-03,100.30747635542755,102.02265380350542,94.1542288557214,102.35456219090179,100.35034534534535
2019-12-04,100.99338223730801,99.51456713246631,91.29353233830847,101.81886888571827,101.55155655655655
2019-12-05,99.86991366768954,101.61813113341957,88.3084577114428,101.40775512922967,101.35135135135135
2019-12-06,102.08136476067561,103.72168299844996,89.92537313432837,102.6410889239226,101.85185185185186
2019-12-09,102.03405988727674,101.49676785990162,89.92537313432837,100.67273080874787,102.6026026026026
2019-12-10,101.7502401076216,101.69902919494454,89.05472636815921,102.29226867916788,101.85185185185186
2019-12-11,102.40065994325118,101.61813113341957,88.80597014925374,104.42257771605497,101.8018018018018
2019-12-12,104.3164629686959,100.283179623106,88.681592039801,104.72156614133172,101.65164664664664
2019-12-13,104.86045423037972,103.60033186085487,86.44278606965175,101.43266605578668,101.65164664664664
2019-12-16,104.99054056269019,104.73300990020266,84.5771144278607,101.50742001398106,100.9009009009009
2019-12-17,104.22185322189814,101.29450652485869,84.2039800995025,101.81886888571827,105.55555555555556
2019-12-18,104.05629148666726,103.31716032836411,85.82089552238807,101.9060745698047,106.20620120120118
2019-12-19,104.68306420726265,107.6860925439358,85.5721393034826,101.6818313821539,107.2072072072072
2019-12-20,104.61211103623725,109.54692999785317,85.07462686567165,101.39529343697372,110.11011011011011
2019-12-23,104.3401195444683,114.56311143054658,85.32338308457712,101.9060745698047,110.01001001001
2019-12-24,104.68306420726265,116.34304677763136,86.19402985074628,102.31717960572492,110.01001001001
2019-12-26,104.16272952135124,113.55178452879389,86.31840796019901,103.16432178264563,110.01001001001
2019-12-27,104.22185322189814,109.50647692178306,85.44776119402987,101.58216525160702,110.11011011011011
2019-12-30,103.40587046844539,106.43203909514722,87.06467661691543,104.87106409135657,113.86386386386386
2019-12-31,103.97351002775568,102.95308264373314,87.68656716417911,104.04883533258385,112.56256256256256
2020-01-02,105.66461697409217,109.6682932713711,87.43781094527364,106.25389832766533,110.26026526526528
2020-01-03,105.04967372397526,107.16019850971678,88.18407960199006,105.97982207474107,108.60861361361363
2020-01-06,104.22185322189814,112.58091070311129,86.44278606965175,106.3161818730353,108.60861361361363
2020-01-07,103.90255803932257,112.70227397662923,83.58208955223881,105.48150138837055,111.6116066066066
2020-01-08,105.10879742452218,116.42395697507918,83.08457711442787,107.68656438345201,112.4124074074074
2020-01-09,107.06007703547961,103.64078493692497,83.95522388059702,105.61854013773042,111.011011011011
2020-01-10,106.62252380847977,100.72815941456956,84.45273631840797,106.40339752348565,109.15915415415414
2020-01-13,107.71050633184737,98.17961562215274,73.2587064676617,106.07948820528796,109.15915415415414
2020-01-14,107.6040682971634,96.84466815714678,72.13930348258707,106.25389832766533,108.85885885885885
2020-01-15,108.25449759353118,94.90291241516636,68.03482587064677,107.42494857698823,111.11111611611612
2020-01-16,109.48439473709544,96.31877007762014,68.90547263681593,110.29027321378871,114.21421421421421
2020-01-17,110.7142918806597,98.05825639394241,67.03980099502488,109.24380874213811,111.31131131131131
2020-01-21,109.42526157581037,94.74110415619354,63.557213930348276,107.84851530516438,113.91391391391392
2020-01-22,109.42526157581037,92.0712011355664,62.06467661691543,107.08857881233007,113.91391391391392
2020-01-23,110.86802532800439,92.88025861166095,61.9402985074627,107.69901610934407,113.91391391391392
2020-01-24,108.83396544072768,93.44660572195008,59.5771144278607,107.3377441386973,111.41141141141141
2020-01-27,104.931415679551,94.98382261261419,59.203980099502495,107.20070538933743,109.35935935935936
2020-01-28,104.77767277146813,97.24919891784786,63.557213930348276,109.29364180741155,109.6096096096096
2020-01-29,102.55440285133403,93.12298111338922,59.70149253731344,111.05020846082753,112.4124074074074
2020-01-30,101.51371574062715,92.03074805949629,58.58208955223881,108.98219293567432,112.4124074074074
2020-01-31,100.31930464331374,91.1003273098838,56.4676616915423,106.20406526239186,112.4124074074074
2020-02-03,101.7147635221089,92.88025861166095,58.084577114427866,106.2289774347444,109.6096096096096
2020-02-04,104.5175012894395,92.79936055013596,58.58208955223881,106.83942345232677,110.11011011011011
2020-02-05,103.54777681049615,94.94336549123646,62.18905472636816,111.03774801436705,108.85885885885885
2020-02-06,101.88032643993205,91.86893170990824,60.07462686567165,111.73539971603587,111.26126126126125
2020-02-07,102.1996216225076,92.55663400310009,59.70149253731344,107.51215426107466,110.11011011011011
2020-02-10,103.51230022498346,92.1116542116365,58.83084577114429,108.33437429927895,111.66165665665665
2020-02-11,103.48865192735697,92.1116542116365,61.69154228855722,109.9414517232385,116.41641641641641
2020-02-12,104.74219736854772,91.5048621158925,63.43283582089552,111.93472201076573,112.16216216216216
2020-02-13,106.35052285597264,91.82848672445336,63.557213930348276,113.35492886588746,113.86386386386386
2020-02-14,105.58183669777289,89.48220831238709,63.43283582089552,114.6754783110307,113.86386386386386
2020-02-18,105.52271181463368,91.38349884237455,61.9402985074627,117.12968794554708,114.1141091091091
2020-02-19,106.5988660501151,94.25566319804463,64.6766169154229,119.23508481008163,114.31431431431432
2020-02-20,104.77767277146813,100.04045712137773,66.7910447761194,121.88862545989629,114.36436436436436
2020-02-21,103.31126190423987,98.34142388112556,63.18407960199006,121.10377804050495,114.36436436436436
2020-02-24,99.95269512660113,92.15211133301423,63.80597014925374,120.04485436818939,114.16415915915914
2020-02-25,97.19726105007715,91.38349884237455,61.31840796019901,110.31519410670963,113.36336336336336
2020-02-26,95.39971606905668,87.70226891999471,52.23880597014926,108.59599010574274,112.81281781781783
2020-02-27,92.5851500138399,83.29288362835291,47.388059701492544,102.27980698691192,110.01001001001
2020-02-28,92.75071174907077,75.28317861177908,51.368159203980106,101.96835811517471,103.1031031031031
2020-03-02,97.42194766844722,75.64725629641005,46.76616915422886,105.66837320300385,105.1051051051051
2020-03-03,92.95175006981434,71.07605465518022,44.77611940298508,104.29799941315557,100.75074574574573
2020-03-04,94.2171237988913,71.48058541588131,44.900497512437816,112.34583701304985,98.34834834834834
2020-03-05,90.10170742908487,64.52265633182267,40.42288557213931,98.16868810895808,97.84784284284284
2020-03-06,89.09649690389067,62.25728407189661,36.31840796019901,92.3757378488503,93.0930930930931
2020-03-09,83.76301286099843,56.71521265029178,29.47761194029851,76.61642244735602,87.68768768768768
2020-03-10,88.54068681505882,61.2459571701439,31.343283582089555,74.90968387603154,90.09009009009009
2020-03-11,80.77105560007229,55.8656980528195,28.23383084577115,63.95914029995541,87.88788288288288
2020-03-12,73.43897761208557,50.64725123977554,24.004975124378113,43.602842043210735,81.38138138138139
2020-03-13,82.68684916477883,49.9595489465837,25.497512437810943,53.170551382978125,71.12112112112112
2020-03-16,69.28808110898963,41.423949895790855,19.154228855721396,41.447615850789184,54.95495495495496
2020-03-17,69.74929209435412,34.466020811732236,17.66169154228856,37.95938724153683,43.793793793793796
2020-03-18,66.61542494360042,21.35922416501716,13.308457711442788,21.178523278130932,42.742742742742735
2020-03-19,72.622991310856,26.092234065219827,17.412935323383085,22.12532784821208,42.54254254254254
2020-03-20,68.62582825510474,32.60517931250725,15.422885572139306,21.68929942777997,46.746746746746744
2020-03-23,66.87559169525997,38.834953027303925,17.412935323383085,23.520617547799333,41.19119119119119
2020-03-24,76.72658294055306,44.33657137283865,18.532338308457714,31.30683934122982,57.507507507507505
2020-03-25,77.82639493439912,53.357607336472796,20.771144278606968,37.06241573672913,62.56256256256256
2020-03-26,82.66320204974463,58.616507225586865,26.11940298507463,45.18500231163582,72.67267267267268
2020-03-27,78.45316647240224,46.39967825241417,25.497512437810943,40.625392075198405,67.56756756756756
2020-03-30,80.25071263601497,44.13430599248811,24.37810945273632,35.23109761670977,67.56756756756756
2020-03-31,77.74361347548755,48.381878979849475,22.63681592039801,35.72941456569383,52.9029029029029
2020-04-01,74.05392677516383,42.111652188982696,20.149253731343286,27.893359706989894,46.2962962962963
2020-04-02,76.86849756074972,40.533982222248476,22.139303482587067,26.161705225926443,45.0950950950951
2020-04-03,74.56244145133495,34.83009849636321,19.27860696517413,25.40176873309214,41.29129129129129
2020-04-06,80.1679311771034,39.360843016215334,22.014925373134332,34.957020117990034,45.2952952952953
2020-04-07,81.255913700471,41.66666835221151,23.258706467661693,36.12806912151747,42.592592592592595
2020-04-08,84.63812877573625,44.741102133539734,25.621890547263686,40.6627634482159,47.397397397397405
2020-04-09,87.36991337204148,49.27184665339186,30.472636815920406,44.823721620420635,52.4024024024024
2020-04-13,84.86282367225223,48.82686281662067,29.22885572139304,40.986674012209065,55.65565565565566
2020-04-14,87.12157017789902,57.16019648706297,32.711442786069654,40.538186391111985,58.95895895895896
2020-04-15,85.79707274827516,48.503238208059805,34.32835820895523,38.445249973037875,60.41041041041041
2020-04-16,86.93236014504164,40.898059906879446,36.069651741293534,36.36477150983325,62.46246246246246
2020-04-17,91.17786166456627,42.88026063431475,37.810945273631845,42.23246949915794,61.96196196196196
2020-04-20,89.07284978885643,41.6262152761414,36.442786069651746,38.04659541721423,61.61161161161161
2020-04-21,85.9981110690187,39.76537377691642,35.820895522388064,39.62875319404833,57.607607607607605
2020-04-22,91.59176777653188,42.51618294968378,37.68656716417911,39.74087603366922,58.408408408408405
2020-04-23,88.87181146811287,44.98382058996038,37.43781094527363,38.4327907723729,55.05505505505506
2020-04-24,89.38032614428398,42.96116678645497,36.81592039800996,38.35804428895145,53.3033033033033
