Date,UAL,JBLU,ALK,AAL,DAL
2019-11-26,100.0,100.0,100.0,100.0,100.0
2019-11-27,100.31263582767063,99.68944099378884,99.61116936603773,99.65577279365829,99.32126869685466
2019-11-29,100.04312311248117,99.74120082815735,99.38076038649884,98.93287776016791,99.73895231011056
2019-12-02,98.78179713708933,99.37888716356107,98.08467603442752,96.66093275941249,98.76435953296833
2019-12-03,95.80638322970282,97.308483436853,95.92453784779555,93.94148688266738,96.79777230765355
2019-12-04,95.05174223691802,100.0,96.37096208608979,94.25129067990673,97.56352588867954
2019-12-05,94.71754970423567,99.06831780538302,96.90380049240206,93.76936639481468,97.25026448399348
2019-12-06,95.49374740203218,98.44720496894409,98.38709394046386,95.45611344083007,97.70274969896884
2019-12-09,94.4480369890462,97.98136645962732,97.9118606592206,94.62995162237355,97.1110337123396
2019-12-10,93.26218212026343,97.82608695652172,96.83179156590461,92.94320457635816,96.64114160531051
2019-12-11,93.81198266899564,96.94616977225672,96.11174550369395,92.4612802912661,95.85799331461877
2019-12-12,95.37516072929795,97.92960662525881,97.4798387822627,95.4216865893868,98.6599373243985
2019-12-13,94.41569654127433,96.16977225672876,97.07661586760898,94.5955282132712,98.72955271022543
2019-12-16,95.54764455481578,96.79089544513457,99.36635658507036,96.11015821377481,101.67072575131789
2019-12-17,96.33462599537243,98.188400621118,100.8928513567727,97.3494043838005,102.14061959868813
2019-12-18,95.77403415752406,97.25673395445135,99.4095579087109,96.38554548659366,101.94918729462562
2019-12-19,96.18369887486634,97.77432194616978,99.65437068967825,98.27882954488226,102.92377311040329
2019-12-20,96.2483797704101,99.43063664596274,99.85598214700511,99.96558347557948,102.62791859777096
2019-12-23,96.42087114228394,99.37888716356107,99.78398474124467,100.86058522755887,103.44587545154674
2019-12-24,96.10823639266417,98.96480848861285,99.49595911589978,100.44750776067153,103.35885839468949
2019-12-26,96.22682198734752,98.86128364389235,99.46716303377984,102.13425480668691,103.6547198686864
2019-12-27,95.26735779932389,97.77432194616978,98.34389261682337,97.90017892943818,102.81935786319802
2019-12-30,94.82535263420972,96.84264492753623,97.46543498083425,97.41824431732338,102.08841110491493
2019-12-31,94.96549601195566,96.89440476190475,97.56624142954372,98.72633730555378,101.77514970022885
2020-01-02,96.74428208830784,97.77432194616978,98.17107724161643,100.13769707875034,102.7497424773711
2020-01-03,94.76067281671685,96.11801242236025,96.37096208608979,95.18072616801123,101.04420816296917
2020-01-06,94.54505725431098,95.65217391304348,95.91013260627497,94.04475366763351,100.3480699677701
2020-01-07,93.54246995380618,95.28985507246377,95.30529679420229,93.70051613426905,100.261054651254
2020-01-08,94.11384337831299,95.75569358178053,95.7661262740171,95.83477094095598,102.41907244029015
2020-01-09,94.81456996950044,96.84264492753623,95.57891861811869,96.21343188342279,102.61051170571723
2020-01-10,94.12461849666626,96.84264492753623,94.88766863802798,94.04475366763351,103.0978124451412
2020-01-13,93.67183821319884,96.27329192546586,94.85887255590804,94.28571408900909,103.5328977294274
2020-01-14,94.7067659614755,95.8592132505176,95.30529679420229,94.76764870112389,106.9439646178901
2020-01-15,95.18111157436155,96.79089544513457,95.89572880484651,94.93976230429475,107.23981913052243
2020-01-16,96.52867515030887,98.34368530020704,95.82373139908607,97.17728389594781,107.69231130686238
2020-01-17,96.70115897582667,99.43063664596274,95.93894164922402,97.76248185068785,107.95335899675182
2020-01-21,92.48598442246693,98.60247929606625,93.59158428595666,93.63167620074617,105.01218421531821
2020-01-22,89.84475442335587,102.43271739130435,94.4556366804252,94.04475366763351,103.79394367897571
2020-01-23,91.50495382697383,109.05797101449275,96.74538891862359,99.13941477244113,104.89036033571807
2020-01-24,88.29236765216974,106.88405797101449,96.0829479814819,95.14629931656796,102.34946401582779
2020-01-27,83.68908508647941,103.72671325051759,94.09561364931987,89.87952460858949,98.90359030462218
2020-01-28,83.06382205554503,104.91718426501035,94.38363927466476,92.59897048533462,100.03480856308404
2020-01-29,81.08020415954712,103.20911490683231,96.32776076244929,92.25473295197014,98.59032889993613
2020-01-30,83.81845442392293,104.55487060041408,95.0604840132349,95.4216865893868,99.37347545028673
2020-01-31,80.63820761883986,102.63975155279502,93.01554455600389,92.39243003072049,97.00661846513434
2020-02-03,80.75679429157408,103.6231884057971,93.10195872402193,93.49397912199584,97.52871906593664
2020-02-04,85.04743132713602,105.69358178053831,94.71485470291317,97.86575207799491,100.81796207479921
2020-02-05,88.2384607969284,107.09110248447206,95.52131349304972,100.17212048785268,102.48868782611709
2020-02-06,86.78309429100702,103.93374741200827,92.19469348517588,97.41824431732338,101.25304735908541
2020-02-07,85.6834856471866,103.20911490683231,92.10829083789484,97.69363159014222,100.80055518274548
2020-02-10,85.67270298247729,103.6231884057971,92.785135576465,99.1049982480206,100.4350852842862
2020-02-11,86.8154347387789,106.15942028985508,92.95795095167192,102.71945276142695,102.08841110491493
2020-02-12,88.61577752014279,109.36852484472048,94.38363927466476,104.88812409253438,103.49808916634336
2020-02-13,87.31133705667665,111.59419772256727,95.7661262740171,103.58003798898582,102.90637317971412
2020-02-14,85.75894920743966,110.09316770186335,95.20449178558489,100.51635802121716,102.50609645851196
2020-02-18,86.50279891110826,110.2484420289855,94.31163034816731,98.55421681770109,102.19283331348475
2020-02-19,85.61879720528681,107.71221014492752,93.8508008683525,97.52151798697136,101.82735645366093
2020-02-20,86.14704859536333,107.81573498964804,94.12442269226891,98.14113935081375,101.60111732685552
2020-02-21,84.0987498038217,106.67702380952382,94.22522770088631,95.76592412275126,100.71353986622938
2020-02-24,81.36049953944588,100.31055383022773,90.74020187960247,87.60757960783407,94.37869986736338
2020-02-25,76.07804924368155,94.46169772256728,84.69181927730935,79.58692528698539,88.56595872895856
2020-02-26,71.72272268816899,88.61284161490684,82.6180837379584,76.79862226501281,86.30351699101143
2020-02-27,70.00862505371659,84.21325051759834,76.26727746926043,70.91222275085104,83.86703765866756
2020-02-28,66.39715251407605,81.67701863354037,72.66704715820715,65.57659089764513,80.28193839683152
2020-03-02,66.04139357392424,80.59006211180125,72.04780754470599,64.9225530093822,82.07448802774954
2020-03-03,62.83958575162601,77.69151138716356,68.2171624937453,61.44578524770346,80.36895371334762
2020-03-04,64.11168576732028,80.43478260869566,71.55817622240275,63.7865805090045,84.40654515152359
2020-03-05,55.61664390649754,71.73913043478261,62.58640228725799,55.21515164251813,78.3327511022059
2020-03-06,56.16644768938232,71.84265010351967,65.10656350499528,54.97418433646074,79.86425304323448
2020-03-09,50.43121818820142,69.35817805383023,62.197577413664234,50.77452842597344,75.7396462885424
2020-03-10,56.66235431948352,75.46583850931677,67.36750814033674,58.51979547400329,79.13331324631594
2020-03-11,53.191029469792376,70.23809523809524,65.81221152614597,55.97246320042903,74.26035284128703
2020-03-12,39.974128073002845,59.47204968944099,50.51843460488379,46.29948524266731,58.66689799281062
2020-03-13,44.89003676390606,57.86749482401656,54.65149756188083,49.25989842546983,66.75948776121629
2020-03-16,38.238465109131845,54.91718426501035,46.846195367333074,54.80206729094896,62.32161786149701
2020-03-17,33.063819899443295,49.27536231884058,46.846195367333074,53.6316713814689,55.23842769297647
2020-03-18,23.048726324951996,39.648033126293996,36.18951364661538,40.10327160424343,40.88061331153173
2020-03-19,22.940923394977936,39.33747412008282,34.82142756850727,35.42168796632317,37.434737859985
2020-03-20,26.412246088567354,37.00828157349896,33.92856901127393,35.73149864824436,37.156283278041826
2020-03-23,28.298835094893594,35.507246376811594,34.605415189936195,35.283994329913746,38.67037832701668
2020-03-24,35.57567840500909,48.65424430641822,41.63306331702006,47.91738547047799,46.79777143748297
2020-03-25,39.456659347635636,58.69565217391304,42.97234899273188,52.977626608524155,54.12460936520379
2020-03-26,38.324707021890745,56.57349896480331,46.7885960026326,53.90705865428773,55.16881578783182
2020-03-27,35.40319026728784,50.46583850931677,43.015553196556645,48.330466379706245,51.427078862288184
2020-03-30,32.51401396045679,45.49689440993788,40.7978098848557,42.16867615038472,49.895580401941885
2020-03-31,34.012503578859345,46.32505175983436,40.99942134218256,41.96213569577059,49.65193438308275
2020-04-01,27.652004578438884,41.97722567287784,37.94642747850151,36.79862433041736,41.54194468398791
2020-04-02,25.247951158948876,39.492753623188406,35.5126717882295,34.629949556969,39.470936990444436
2020-04-03,24.67658312469635,38.71635610766045,35.55587599205426,32.32358114711123,39.12286876301547
2020-04-06,25.894781675403586,40.010351966873706,38.40725695831633,32.70223864723713,38.8444141810723
2020-04-07,26.3906850713522,45.3416149068323,41.80587581204274,35.18072410260669,38.72259030147216
2020-04-08,29.657179179448487,46.7391304347826,41.964283065544834,39.00172251296807,40.42812461587408
2020-04-09,33.95860211387231,49.17184265010352,45.521313493049725,43.06368478704595,42.446918594620925
2020-04-13,31.166450384509478,46.7391304347826,42.497118591672844,39.79346092232223,40.46293143861698
2020-04-14,33.311771597417604,47.82608695652174,44.71485902318954,41.13597387731407,42.70797324587493
2020-04-15,34.346701501796005,47.56728778467909,43.31797110259299,42.30636978679414,42.37730668947628
2020-04-16,30.411813703928118,45.18633540372671,40.69700343614621,38.10671387630685,39.64497284450005
2020-04-17,31.349719030838312,46.480331262939956,43.1019572839298,39.82788433142459,42.23807939850469
2020-04-20,29.95903449851155,44.668737060041416,42.09389279683488,38.07229046720449,41.14166274176232
2020-04-21,30.056056919878028,43.11594202898551,40.740207639970976,37.86575001259036,40.20188026804526
2020-04-22,27.899955198362328,40.683229813664596,39.64573762541078,35.35284114811846,39.10546361130288
2020-04-23,27.72746706064107,41.45962732919254,40.61059934877306,35.283994329913746,39.12286876301547
2020-04-24,27.554978922919815,41.149068322981364,40.33698040504088,35.490534784527874,39.00104488341533
