Date,Sony,Netflix,Blizzard,The stars group Inc,Nintendo
2019-11-26,100.0,100.0,100.0,100.0,100.0
2019-11-27,100.90261121448579,101.10083622198589,100.57227618874936,101.55005858608887,100.12309601464521
2019-11-29,100.52256213705266,100.69442672387683,101.2183939899721,101.7595307180758,99.28189785466155
2019-12-02,100.20585430860318,99.19997437357912,100.1107661107907,102.2622495910243,102.66721162629415
2019-12-03,102.28027546222405,97.97433959404589,100.77534062305116,101.7595307180758,104.49322509260462
2019-12-04,103.38875523709406,97.38552169303087,99.46465384768891,101.25680346640956,104.08288452675893
2019-12-05,103.24623109275593,96.91829968697557,101.51376043986564,101.21490987788395,102.56462853653555
2019-12-06,103.38875523709406,98.35515243224272,101.91988377034829,101.13111851147386,103.71357596579499
2019-12-09,104.40221363730124,96.80310079692474,100.40613071464392,100.54461246147413,106.11407237939792
2019-12-10,105.00395233558345,93.8014030465424,103.26749319798756,101.34059483281966,108.63766685934891
2019-12-11,105.36816926783312,95.660661962324,104.26435681241857,101.7595307180758,107.7759475676673
2019-12-12,106.60332203948306,95.50385981963774,108.10412250707486,102.5555047107036,106.44234483207448
2019-12-13,106.99920484563087,95.52305979465135,108.2702679811803,104.18935885256143,104.53426120089203
2019-12-16,108.07600607835293,97.35031544530436,108.19642452266659,104.56639277057423,107.32457704864271
2019-12-17,107.26840198674894,100.95683736941461,107.55030487540353,102.01088805987062,106.58596403012046
2019-12-18,107.20505915423406,102.65928454220246,108.95329920447847,103.93798894269001,104.49322509260462
2019-12-19,107.4900947746605,106.31380576382622,109.15636548482058,105.4880559074966,101.86704957459789
2019-12-20,107.52177331680845,107.81145149641435,109.3225091128857,106.24214469031652,101.51825599022338
2019-12-23,107.80680893723488,106.59541638437763,108.71331211789965,106.0745661468552,101.8465263911971
2019-12-24,107.30007894536567,106.62741932949596,108.56563258503351,105.94888957063722,101.66187313656654
2019-12-26,107.71178914610327,106.44501124660025,108.71331211789965,107.08000808211108,102.37997528190499
2019-12-27,107.33174481926383,105.31217207949604,109.26712421145004,108.00167540839232,102.58514146142217
2019-12-30,107.23673611285078,103.46251347123152,108.69485540686193,108.83954298954573,101.96963266435647
2019-12-31,107.68012327220512,103.54571901647154,109.69171163713168,109.30037246332749,102.37997528190499
2020-01-02,109.35866320320939,105.54258009992576,108.2702679811803,111.18558813633899,104.00081436188697
2020-01-03,107.80680893723488,104.29133874016253,108.30718140325573,109.00711734364819,103.09806716872929
2020-01-06,109.43784451503262,107.46903828823447,110.28245192108001,108.83954298954573,101.66187313656654
2020-01-07,111.1638872157122,105.84339037548051,111.39007241610014,109.30037246332749,100.86171108487028
2020-01-08,111.57560850116838,108.56668080791965,110.54089571869655,108.67197282480214,101.7849794097259
2020-01-09,112.4782212991854,107.41464198581211,109.54403210426554,108.63007504691767,101.64136021167992
2020-01-10,112.20902415806731,105.29936910939132,108.82407822869035,108.12734779525144,101.47721988193598
2020-01-13,113.44417534618606,108.45787828275715,109.35943176516271,105.7813110271759,101.76445622632512
2020-01-14,114.75850942965923,108.38427240501369,110.8547188796278,105.40426873044537,100.84119815998366
2020-01-15,113.38083251367117,108.5058779002809,110.09784235177561,106.66107219685495,100.55395155708035
2020-01-16,114.99604228041038,108.36186944740217,111.55621604416525,107.45705456820048,100.20516617951718
2020-01-17,114.7743479089676,108.69788597068342,113.05151238883192,105.40426873044537,99.85637259514267
2020-01-21,114.22010247917332,108.19866101950979,113.38379226080089,104.10556748615133,100.45136846732176
2020-01-22,114.61598528532113,104.32334168528087,111.35315160986346,104.35692901730502,100.63602172195232
2020-01-23,114.94852525895406,111.87558551875534,111.0024057966552,103.81231655583089,102.09272867900168
2020-01-24,113.82421967302551,113.01482137075817,109.65479821505625,103.01633418448536,102.0311816975305
2020-01-27,112.92160845853971,109.72511631492578,107.66107098619425,102.72307906480606,98.85104231222641
2020-01-28,114.04591404446829,111.52996900796727,110.8177980733911,102.13656463608861,100.43085554243514
2020-01-29,113.69754667624557,109.81471886507471,111.50083852689086,102.5555047107036,100.12309601464521
2020-01-30,112.65240973389044,111.2803613325342,112.40539274156886,102.30414317954992,97.14812486056113
2020-01-31,111.13222134181406,110.43233608858958,107.95643743608778,99.95810641147439,94.17316396499122
2020-02-03,111.60728545978509,114.56366970346795,107.45800470585212,100.54461246147413,94.00902363524727
2020-02-04,115.59777939516138,118.08698576232796,109.30404501768672,100.54461246147413,95.24004122937868
2020-02-05,111.65478981299162,118.2981934877338,108.63946865938595,101.00544612461474,95.19901537960544
2020-02-06,113.30166387009776,117.42776528617765,111.24238549907274,97.61205707532227,95.05539618155944
2020-02-07,110.98969719747593,117.37015608083959,113.58685854114302,97.19312956878385,94.43987917768241
2020-02-10,111.11638286250569,118.74620591846798,113.77146626440711,97.15123598025824,95.19901537960544
2020-02-11,111.35391571325681,119.58463117490581,112.95920483511925,99.53916633685938,95.97865629960376
2020-02-12,112.06650001372923,121.60709851857978,115.93132973717296,100.5027188729485,95.19901537960544
2020-02-13,110.21377006448867,122.05190764670574,115.54366311772802,99.12023045160323,93.7628213474427
2020-02-14,108.99445735567832,121.7318973961374,117.2604806077342,97.8215292073092,92.77800398941305
2020-02-18,105.52651922322981,124.09357464538306,117.66661316841844,100.41892750653842,92.30611439039333
2020-02-19,106.20743923333524,123.58475930701013,118.82962041091454,105.73941743865029,93.24989564013559
2020-02-20,105.68487076215769,123.52395671938164,118.1465799574148,105.61373248371459,91.97784193771679
2020-02-21,104.4180521166096,121.6262981735831,117.00203681011766,106.40971485506012,90.9930163728758
2020-02-24,101.23515118811872,117.98778322467226,115.02677367645464,104.35692901730502,88.57200703438623
2020-02-25,100.68091842657424,115.23248984711478,109.85785526519679,101.17301628935834,89.02338370851933
2020-02-26,101.25098491683342,121.36068422543711,109.59941146758027,101.21490987788395,89.96716495826158
2020-02-27,96.4212146818301,118.95100735866772,107.67953508139321,93.50648958917094,87.27944040708081
2020-02-28,98.49564375310709,118.09338244722656,107.31032517298598,96.14578985564349,86.13048477101006
2020-03-02,101.59936970389961,121.93990213894533,111.8515824940588,99.16212404012886,88.69511330754561
2020-03-03,100.04750276967529,118.01017658197628,108.45486832028313,98.61751157865473,87.27944040708081
2020-03-04,102.59698962479843,122.81673694571785,115.46981965921431,99.95810641147439,89.84406894361638
2020-03-05,100.45921930453778,119.29342088685786,113.56839998406498,98.3242480802577,89.78251170363102
2020-03-06,99.95248931266859,118.07418247221295,110.70703934676166,96.60661095070752,90.02872219824692
2020-03-09,92.68408099179474,110.88034851932376,105.87040819163404,91.78885245962076,86.99220406269167
2020-03-10,95.53444194665268,116.52533413950314,112.07310548543863,91.87263963667198,89.22856014655068
2020-03-11,91.51227105265967,111.97799103900896,109.52557539322783,86.97108977917512,85.20721644615442
2020-03-12,83.2462364767621,100.88323149167115,100.71996125973644,70.75826683040356,79.85227001016536
2020-03-13,89.1844785689793,107.61944342601183,108.99022185675547,69.87850566072451,81.45260437207203
2020-03-16,81.8368936868759,95.63186199980358,97.3970831603132,55.927940681694984,77.88263734580887
2020-03-17,87.41092518096832,102.3232776192287,103.67362391263148,53.54000613573497,84.16085005495076
2020-03-18,86.7616773788859,100.95363406680643,102.62138093488576,51.02639082419812,83.5248201261871
2020-03-19,87.7276330094178,106.25300317619775,99.92616392564756,58.60913034733429,89.96716495826158
2020-03-20,84.02216836034304,106.50900753652942,96.08639638495094,66.35944422457293,89.26958599632391
2020-03-23,83.76880494793967,115.29008945214534,104.24589825534053,63.21742508515185,88.18218760023849
2020-03-24,90.26127980170135,114.34606497315322,100.47997417315763,72.76916745835076,91.58801224505488
2020-03-25,91.3380810344234,109.56831449224983,97.60014944065531,78.63426566257789,89.88510300020094
2020-03-26,95.80363908777073,116.16051765370148,106.5534486451338,80.39380057001254,94.09109380011925
2020-03-27,93.93507224275305,114.28205908291658,105.15045431605886,74.06786451328594,93.74230021574475
2020-03-30,95.28107061659317,118.71099967074146,107.93797887900975,76.12065035104105,98.76897214735443
2020-03-31,93.71337787131029,120.16384908841401,109.80247774792238,85.54670776930425,99.05621054344641
2020-04-01,90.02374695095021,116.50932786679024,106.14731793048986,84.08043217090774,99.40500412782092
2020-04-02,93.28582444067064,118.42938937020033,112.20232830726705,79.59781819866701,99.50758721757951
2020-04-03,91.02137478950515,115.76691144570745,110.72549790383968,77.96397243552691,98.56380596783725
2020-04-06,96.38954405733827,121.59109192585657,113.71607951693112,83.24256458975431,102.76979471605273
2020-04-07,96.05700408370534,119.13341576157369,110.52243162349757,82.27900367494748,102.74928179116611
2020-04-08,98.35312594289388,118.76220259087341,112.73768184373941,85.88185647750915,103.65202693262096
2020-04-09,97.51385597739174,118.63420041070755,111.61159540747998,90.69961915795479,103.59047995114977
2020-04-13,95.15439128568832,126.95446692548455,115.83902956762155,87.34813207590564,106.27820450233054
2020-04-14,97.27632312664059,132.3402352824166,116.81742908685358,86.51026030539336,108.78128400569207
2020-04-15,98.28978311037899,136.56437443004177,121.30330704461167,87.51570224064925,110.9766060329665
2020-04-16,98.55898658562197,140.53890590223386,125.62304875846591,90.1550025071218,113.04882178708156
2020-04-17,102.04275527972273,135.35153270029548,123.46317051737753,105.94888957063722,110.03282478322426
2020-04-20,100.63340773924283,140.0012813210433,122.76168073700131,104.48261397224073,108.53508376959033
2020-04-21,98.25811090235595,138.8300428439324,121.32177113981062,102.84875564102404,113.08985789536897
2020-04-22,99.25573715737966,134.8587239546457,123.64778562480286,103.05822777301098,112.53589607977446
2020-04-23,98.27394938166431,136.54837775763633,121.61713020554294,102.76497684269054,111.16125928759706
2020-04-24,99.69912431673399,136.00115318893896,123.03859047585715,105.15290719929169,112.49487023000123
